,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
4842,bumbarach14,-3.33,969,17.95,-17.18,2.08,44.44
4880,Burzums73,1.34,868,14.14,7.72,3.43,47.06
4930,bvdub21,0.54,970,18.57,2.78,1.01,31.91
4938,bxr23ps,-1.26,12005,11.55,-0.52,4.35,45.7
4954,byshwa4ka,51.24,6076,19.56,42.17,1.91,44.38
4963,bödeler,-18.38,2824,12.93,-32.54,3.03,45.05
4979,c4@stliv4ik,3.21,703,13.92,22.83,1.82,39.23
4983,C@rry9000,3.87,1093,19.96,17.7,2.62,50.17
4986,Ca$ter_Tr0y,1.72,645,12.95,13.33,1.6,33.33
5051,calidad1986,13.58,1520,19.82,44.67,1.34,36.36
5081,camburão88,-5.95,4776,17.16,-6.23,1.87,44.36
5084,Camezzz,43.21,11440,15.39,18.89,4.8,58.54
5139,canutovillage,1.14,965,6.15,5.91,8.67,39.39
5151,capoc1,20.23,6265,19.49,16.15,1.43,38.76
5163,CaptainA5,1.38,2537,18.53,2.72,6.47,54.64
5212,carlos RGI,7.12,10802,17.98,3.3,0.97,30.39
5215,carlos674820,61.97,18324,12.09,16.91,1.25,31.22
5247,Carpego26,-2.35,984,18.16,-11.94,1.48,35.62
5253,carrrera,5.32,6967,19.7,3.82,1.18,27.93
5268,Caselatt0,23.1,3709,17.75,31.14,3.1,56.08
5280,CasinoReal46,4.35,4980,14.71,4.37,2.24,44.24
5412,Cenzor_333,10.69,1343,17.98,39.8,2.11,40.94
5436,CesarGomes33,10.54,2184,17.88,24.13,1.13,32.8
5448,Cezar006,4.81,2447,17.77,9.83,3.11,49.57
5474,Chacetheace48,10.76,515,18.0,104.47,2.17,47.45
5498,chameleon60,58.93,10904,13.86,27.02,1.86,38.51
5541,Charles7575,4.24,1169,18.88,18.14,0.61,19.34
5544,Charlie0008,2.18,926,18.28,11.77,3.28,46.26
5568,chaves9999,0.85,1610,9.51,2.64,3.04,38.22
5570,Chavez_DB5,1.53,3085,17.59,2.48,3.37,43.85
5571,chavezbao,-6.12,3733,17.25,-8.2,1.55,40.16
5577,chazzaward,-4.58,953,18.5,-24.03,1.29,39.88
5586,CheckBorris,2.42,682,18.65,17.74,2.48,34.21
5634,CherT678,21.15,6415,17.09,16.48,3.13,40.44
5673,Chieftbull,0.59,1315,17.86,2.24,2.29,50.0
5691,chimeravideo,-3.68,579,17.91,-31.78,1.83,44.92
5706,ChipakL228,4.4,3661,15.29,6.01,2.14,37.07
5748,Chocotab24,8.57,1606,15.4,26.68,5.11,56.65
5809,christianlima,-3.63,1493,18.99,-12.16,0.75,18.94
5837,chudak1000,-6.5,1693,19.81,-19.2,1.11,29.88
5883,cincinatus13,4.69,3953,15.03,5.93,13.86,60.93
5889,cion04,3.01,803,16.73,18.74,1.41,34.83
5892,Ciquilin,8.02,1152,16.62,34.81,2.94,45.05
5900,CitizenPU,8.46,3577,19.02,11.83,1.58,36.79
5942,ClassCley,25.51,2745,13.34,46.47,3.36,46.53
