,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
137,0ldgaldeha228,-1.83,35,65.71,-261.43,2.2,44.0
138,0lukeatme0,-2.0,5,40.0,-2000.0,0.75,42.86
139,0NarWhAle0,-1.04,35,41.18,-148.57,1.0,33.33
140,0nsp,-2.65,138,31.88,-96.01,25.5,91.07
141,0PARATUZOV0,0.38,270,29.48,7.04,4.0,42.67
142,0Piati0,0.05,104,33.01,2.4,0.6,23.08
143,0PTI-MEN,31.72,8838,17.5,17.95,2.19,44.88
144,0RB BR0,10.28,5690,26.62,9.03,2.74,51.03
145,0TSM33,0.04,21,28.57,9.52,3.0,54.55
146,0verTheGun,-0.4,20,35.0,-100.0,1.5,33.33
147,0warren0,1.8,88,32.95,102.27,1.4,45.65
148,0x0tnik87,0.16,12,66.67,66.67,,33.33
149,0XxJOxX0,1.36,52,30.77,130.77,0.8,34.78
150,0Yaffil0,1.71,47,89.36,181.91,2.81,55.56
151,1 Barão,-10.89,928,51.35,-58.67,1.09,36.82
152,1 BILLYGUN,-11.59,615,35.34,-94.23,0.79,32.05
153,1 Icu,-6.66,2499,14.99,-13.33,0.37,8.16
154,1 R0BERT,-2.21,65,68.75,-170.0,1.05,30.77
155,1#KwA#1,-1.72,23,43.48,-373.91,3.0,54.55
156,1. Roman K,-11.99,1983,44.82,-30.23,0.83,29.63
157,1.Elvis1234,-1.19,30,56.67,-198.33,3.0,62.07
158,10 blueberry 10,-32.12,14186,30.95,-11.32,1.65,35.8
159,1000699,1.16,22,36.36,263.64,1.4,43.75
160,1000tonAB,-0.74,1,100.0,-3700.0,0.0,0.0
161,100gram1309,-1.54,30,46.67,-256.67,0.64,26.92
162,100tasaca,-7.81,81,83.95,-482.1,3.62,49.47
163,1026688404,-0.49,285,39.44,-8.6,4.26,58.68
164,102rusMarat,-0.81,91,46.15,-44.51,1.06,29.69
165,106329958,3.25,41,53.66,396.34,3.5,53.85
166,109468061,-4.5,11,54.55,-2045.45,2.5,62.5
167,10Bvv10,-0.28,19,50.0,-73.68,1.4,43.75
168,10Houston01,0.0,12,58.33,0.0,,37.5
169,10p.bure,-0.82,12,75.0,-341.67,1.0,20.0
170,10PETTI10,-0.82,3,66.67,-1366.67,2.0,50.0
171,10RGA,-1.88,46,45.65,-204.35,1.25,46.88
172,11*evgeni*11,-0.78,578,31.53,-6.75,2.02,46.12
173,1100King,-0.04,5,40.0,-40.0,2.0,66.67
174,1100min,-0.15,31,33.33,-24.19,6.0,70.59
175,110110803,-8.12,111,27.52,-365.77,1.33,44.44
176,1111111382,0.45,2,50.0,1125.0,,100.0
177,1111yoprst1111,-0.21,96,51.04,-10.94,2.44,54.32
178,117k,-4.36,264,41.83,-82.58,2.48,44.6
179,11florin11,1.87,53,49.06,176.42,1.0,36.84
180,123321706,-0.17,10,88.89,-85.0,3.5,53.85
181,1234480,2.81,119,36.13,118.07,2.89,43.33
182,1234asdasd,0.1,19,84.21,26.32,2.0,43.48
183,1234Nico12,-1.56,13,30.77,-600.0,4.0,57.14
184,1234tata,-3.47,57,70.18,-304.39,0.83,35.19
185,123golden456,-5.57,1326,21.62,-21.0,2.67,55.61
186,123Matija123,0.22,2,50.0,550.0,0.67,33.33
187,123pléjer,-0.43,14,42.86,-153.57,,40.0
188,123Tip123,13.0,3167,19.24,20.52,1.42,34.64
189,1259pv,-0.15,18,5.56,-41.67,,33.33
190,12geniusnet1,1.7,16,50.0,531.25,3.5,58.33
191,12laura123,-1.2,104,79.81,-57.69,0.32,16.67
192,12PePe02,0.29,176,48.57,8.24,1.64,38.32
193,12Stefan34,-0.67,55,41.82,-60.91,3.71,60.47
194,130gen,18.9,2340,50.39,40.38,1.43,38.11
195,13122020,0.12,5,60.0,120.0,0.67,33.33
196,131274,-3.4,120,14.17,-141.67,1.0,37.04
197,13170877,-14.71,3062,36.74,-24.02,0.41,16.64
198,133556,-3.0,1218,36.55,-12.32,4.23,61.79
199,1337DrRuB,0.18,3,66.67,300.0,,66.67
200,1337Fuchs,0.44,21,38.1,104.76,7.0,63.64
201,133_TaRaKaN_133,-0.04,2,0.0,-100.0,0.0,0.0
202,139qmb,3.15,1880,17.96,8.38,1.64,32.94
203,13_bruja_13,-0.1,1,100.0,-500.0,0.0,0.0
204,13archy,-0.97,3,66.67,-1616.67,,33.33
205,13lion79,0.1,21,9.52,23.81,,100.0
206,13longer1980,-0.91,5,80.0,-910.0,3.0,60.0
207,13MAYA23,-0.65,629,44.46,-5.17,0.52,21.45
208,13Saimon13,4.24,136,55.15,155.88,4.38,54.81
209,13sss13,-0.04,5,40.0,-40.0,0.0,0.0
210,13WildChild31,-1.33,52,94.12,-127.88,0.86,34.72
211,1445choc,-13.58,562,44.11,-120.82,0.47,20.49
212,146065,-0.1,119,44.44,-4.2,1.09,34.25
213,14Grant,4.07,7700,10.77,2.64,1.99,32.55
214,150385,-2.68,115,62.61,-116.52,5.13,63.64
215,15039266,-2.0,11,90.91,-909.09,0.33,16.67
216,15267834,-1.68,17,58.82,-494.12,1.33,28.57
217,1542637837,-9.51,88,50.57,-540.34,3.82,60.87
218,155alfa,-0.23,5,100.0,-230.0,3.0,60.0
219,15kot15,0.06,1342,33.94,0.22,2.28,46.85
220,160802,-0.89,5,40.0,-890.0,,100.0
221,16BadDad90,-0.2,20,75.0,-50.0,2.4,48.0
222,16blue,-1.11,38,57.89,-146.05,3.67,40.74
223,16elimart2,1.64,453,52.22,18.1,2.08,47.68
224,16Shagynko16,-5.14,5021,18.49,-5.12,1.41,40.09
225,171218,-1.6,23,56.52,-347.83,2.0,64.52
226,1712CA,0.23,77,23.38,14.94,3.33,41.67
