"Player","My C Won","Hands","VPIP","BB/100"
"Gaitano_00","-$0.90","650","44.22","-2.77"
"Gateways2","-$5.34","585","39.45","-18.26"
"GeLeZiaK@","-$22.46","3,083","11.02","-14.57"
"gilsonfn","-$24.02","2,107","31.22","-22.80"
"glasss","-$12.08","1,826","20.96","-13.23"
"Glint7","-$30.47","823","41.89","-74.05"
"GOGA&BUBA","-$42.15","1,713","32.65","-49.21"
"goku27420","-$21.34","947","31.10","-45.07"
"goldbunnies","-$1.67","505","13.17","-6.61"
"goldlamboo","-$63.86","1,284","26.00","-99.47"
"Gomez224","-$3.58","4,343","12.86","-1.65"
"google_8644","-$1.98","633","36.52","-6.26"
"goran1964","-$3.23","706","40.51","-9.15"
"Grill-Station","-$36.39","1,665","32.08","-43.71"
"gringriss","-$8.15","809","26.25","-20.15"
"GuerzoStar","-$17.82","536","50.57","-66.49"
"H!TM@N1989","-$6.66","7,044","13.47","-1.89"
"hacktheplanet87","-$17.20","616","52.21","-55.84"
"hallucinations","-$4.38","1,953","27.12","-4.49"
"Hamon Szerráno","-$5.21","839","31.76","-12.42"
"hanky1977","-$7.46","843","17.65","-17.70"
"Hansen3480","-$5.78","502","23.23","-23.03"
"harbaka","-$0.37","2,354","10.73","-0.31"
"Harlsburg","-$12.67","550","20.96","-46.07"
"harrypotter99","-$20.25","2,327","53.52","-17.40"
"Hasbo60","-$15.84","572","34.93","-55.38"
"havana_anejo","-$2.02","691","20.38","-5.85"
"heavyg59","-$0.80","568","28.21","-2.82"
"Hebreu_rpc","-$6.17","2,467","13.33","-5.00"
"Heckfy124","-$7.80","906","35.53","-17.22"
"HeidyFrancoP","-$19.49","2,036","29.38","-19.15"
"HenriqueAces","-$41.71","2,608","33.58","-31.99"
"Herbert CNR","-$9.90","2,092","20.92","-9.46"
"heureka3","-$21.89","578","29.77","-75.74"
"hexxau","-$59.90","1,793","35.43","-66.82"
"hfev","-$6.42","517","15.53","-24.84"
"Ho$$ Style","-$55.09","6,979","19.40","-15.79"
"honzavegas123$","-$30.17","1,607","41.69","-37.55"
"HSR1","-$5.16","1,362","29.19","-7.58"
"Husssky","-$12.89","681","11.26","-37.86"
"Igel212","-$12.76","552","18.18","-46.23"
"iggypop85","-$9.18","3,851","20.80","-4.77"
"igor simonchuk","-$1.84","817","24.35","-4.50"
"iguiguana","-$26.85","1,319","26.45","-40.71"
"InvestINiota","-$18.17","700","33.62","-51.91"
"ioaann67","-$20.31","556","49.09","-73.06"
"IRONS080","-$9.79","5,336","10.61","-3.67"
"j'ignoretamise","-$47.12","527","89.62","-178.82"
"Jacklefort","-$6.67","1,398","17.89","-9.54"
"JackWoodsy12","-$12.40","1,412","16.19","-17.56"
"jaki loku","-$12.49","3,982","16.29","-6.27"
"Jambrrra","-$42.20","4,879","22.60","-17.30"
"janphi1","-$23.55","2,366","26.29","-19.91"
"Jar3Xio","-$8.67","653","26.57","-26.55"
"JasonMerccie","-$5.52","1,621","17.12","-6.81"
"Jaxon53","-$10.71","1,231","49.06","-17.40"
"JFgomez31","-$8.46","698","53.55","-24.24"
"jjhooks87","-$27.53","3,375","18.19","-16.31"
"jl1955","-$14.19","1,148","10.63","-24.72"
"JLJazz800","-$8.09","1,758","17.84","-9.20"
"jmcfo","-$8.77","1,098","15.22","-15.97"
"joee84","-$7.11","4,480","24.44","-3.17"
"john_pkrman","-$23.12","1,164","20.45","-39.73"
"JohnGot hisGuns","-$16.48","537","38.68","-61.38"
"Johnny10170","-$1.66","1,380","14.41","-2.41"
"johnxl7","-$13.68","597","53.04","-45.83"
"Joker777355","-$6.62","2,425","13.03","-5.46"
"joop050786","-$9.20","1,230","21.63","-14.96"
"joosea1","-$22.74","799","36.31","-56.92"
"jorgeebanks","-$3.85","757","31.06","-10.17"
"junior3demai","-$8.64","1,314","34.23","-13.15"
"Junior_GreyM","-$18.18","3,738","20.89","-9.73"
"KAAS467","-$28.43","5,455","15.60","-10.42"
"Kallem28","-$24.32","3,538","23.07","-13.75"
"kanatakk","-$47.40","10,644","21.27","-8.91"
"Katya2585","-$17.14","1,057","26.58","-32.43"
"Kawaii4ik","-$1.58","773","24.50","-4.09"
"KeKeMeKorea","-$3.39","3,839","16.98","-1.77"
"khz71","-$18.12","1,292","18.65","-28.05"
"Kid_Polton","-$40.78","6,068","13.54","-13.44"
"KingPhill291","-$15.53","1,203","41.57","-25.82"
"kingspawnn","-$88.02","773","33.12","-227.74"
"Klaus Klausovic","-$7.98","552","48.26","-28.91"
"Koessianna","-$4.48","594","44.62","-15.08"
"Koksmix87","-$2.43","730","16.41","-6.66"
"KoMarVampire","-$10.40","960","26.34","-21.67"
"Kompozitor27","-$10.73","851","50.30","-25.22"
"kopotb1971","-$4.20","742","30.01","-11.32"
"kostylyaka","-$41.60","1,466","41.21","-56.75"
"kralovsky","-$24.03","509","32.01","-94.42"
"Kroll95","-$25.81","5,052","13.56","-10.22"
"Kupetc","-$46.00","3,518","27.67","-26.15"
"kurkul76","-$1.36","1,292","20.28","-2.11"
"kurtev87","-$14.89","9,812","19.59","-3.04"
"kuznez1611","-$23.26","11,221","29.26","-4.15"
"kzsolt89","-$23.96","1,054","16.97","-45.46"
"Lacoste102","-$0.39","4,041","14.60","-0.19"
"lahezis1950","-$0.93","3,957","19.19","-0.47"
"Lantukh","-$33.70","1,262","56.77","-53.41"
"laurentis9","-$22.43","579","27.95","-77.48"
"LazyCrazyPsycho","-$13.13","902","18.02","-29.11"
"LBDC x Poker","-$10.14","1,558","22.14","-13.02"
"LDKovboy","-$39.72","535","31.57","-148.49"
"lek315","-$29.79","1,685","40.37","-35.36"
"Lemontr3e","-$12.85","2,908","18.74","-8.84"
"LemSF","-$17.53","827","54.46","-42.39"
"leo_leo_me","-$21.47","3,441","24.38","-12.48"
"letoed","-$23.59","1,979","17.81","-23.84"
"LEXATT34","-$15.41","1,757","16.54","-17.54"
"leymanMsk","-$9.90","614","26.51","-32.25"
"livsvedberg","-$18.16","787","18.29","-46.15"
"LizardZoé","-$5.17","641","39.72","-16.13"
"loic6000","-$22.06","656","23.50","-67.26"
"Lolek01","-$10.97","610","42.98","-35.97"
"louis1978207","-$0.19","905","26.36","-0.42"
"lpavel3010","-$20.35","1,974","25.50","-20.62"
"lucky kemal","-$21.52","587","21.97","-73.32"
"lucorso","-$0.46","683","24.34","-1.35"
"lui221","-$1.88","530","13.50","-7.09"
"luisferA10","-$21.28","809","63.35","-52.61"
"Lutz333","-$19.75","809","46.01","-48.83"
"MA551VE","-$7.78","681","27.79","-22.85"
"macpherdaughter","-$6.71","688","21.15","-19.51"
"maddox1860","-$38.17","1,988","41.20","-38.40"
"Madic Cadim","-$5.70","1,604","28.79","-7.11"
"magicturtle7777","-$19.10","1,544","23.12","-24.74"
"MAGNUSVAGNER","-$68.25","5,251","16.30","-26.00"
"Mahia Kidd","-$7.45","641","40.31","-23.24"
"Makcum_ru","-$4.04","724","11.03","-11.16"
"maksim-2003","-$0.63","1,620","15.79","-0.78"
"mandeelee124","-$9.29","1,300","16.08","-14.29"
"MAndrIg","-$0.12","1,979","23.11","-0.12"
"maniek19801","-$3.75","917","12.16","-8.18"
"manos1010","-$2.35","572","31.81","-8.22"
"manosk","-$6.25","969","32.64","-12.90"
"manugar91","-$8.19","4,206","18.43","-3.89"
"MaoLVL666","-$7.95","586","36.83","-27.13"
"mapo9","-$16.97","1,408","45.32","-24.11"
"MarBal08","-$5.57","827","31.07","-13.47"
"MarcusVitruvius","-$15.21","656","35.69","-46.37"
"marcys022","-$12.49","1,019","23.21","-24.51"
"marianpro605","-$12.44","1,046","41.83","-23.79"
"mario021965","-$27.38","5,827","14.35","-9.40"
"MarioPro7","-$14.98","530","20.23","-56.53"
"Mark$layer","-$17.66","524","30.06","-67.40"
"marko2401","-$14.05","1,460","15.79","-19.25"
"martin7729","-$9.74","2,943","10.68","-6.62"
"masterp85","-$17.66","524","20.35","-67.40"
"mathwise","-$6.76","798","22.98","-16.94"
"MatLaCrap819","-$2.88","857","27.83","-6.72"
"Matmes100","-$2.28","781","7.21","-5.84"
"Matthew7887","-$9.90","1,230","17.10","-16.10"
"MAX31088","-$6.70","1,939","22.60","-6.91"
"MaxFizzle","-$29.00","1,548","21.31","-37.47"
"maxlanfraconi","-$36.43","1,672","53.98","-43.58"
"mazanchik","-$11.61","533","57.82","-43.56"
"Mechanic1995","-$13.58","5,165","14.83","-5.26"
"merries","-$3.92","646","36.60","-12.14"
"mg002","-$10.07","5,080","17.18","-3.96"
"mickmoe","-$30.61","1,376","20.18","-44.49"
"Micky0407198","-$80.79","3,732","22.85","-43.30"
"mikehunt007007","-$9.50","840","24.28","-22.62"
"mikemb69","-$53.62","7,931","18.93","-13.52"
"Mikeprrr","-$2.81","592","20.24","-9.49"
"milijonase","-$21.61","3,223","29.98","-13.41"
"Mimick020219","-$29.52","1,382","23.30","-42.72"
"miro2x","-$26.90","3,983","27.69","-13.51"
"Misha.R51","-$12.24","646","34.01","-37.89"
"mishel_400","-$15.07","632","25.24","-47.69"
"Mister 19122009","-$33.06","1,455","19.11","-45.44"
"Mister X2012","-$25.60","737","39.43","-69.47"
"mistyrose123","-$20.26","2,079","23.36","-19.49"
"Moc9H","-$3.27","785","55.89","-8.33"
"MonicaKa","-$25.30","4,404","22.70","-11.49"
"monstrrrik","-$19.93","2,435","11.91","-16.37"
"montreal555","-$4.50","2,085","14.38","-4.32"
"Moroz28","-$10.93","1,262","18.79","-17.32"
"Moucush","-$8.66","980","28.88","-17.67"
"Mr Pelo Pixa","-$11.32","1,730","22.45","-13.09"
"mr.Iartcev","-$18.47","789","35.25","-46.82"
"Mr.Squanchy90","-$19.62","2,897","17.33","-13.55"
"Mr_Resto","-$13.60","786","15.33","-34.61"
"mrakic1988","-$1.20","523","28.13","-4.59"
"mrjapa1000","-$7.64","2,236","19.85","-6.83"
"MrRussia777","-$4.39","1,842","15.14","-4.77"
"MrThomas28","-$4.98","3,345","18.49","-2.98"
"muffincake27","-$25.02","667","24.17","-75.02"
"mullski326","-$74.69","5,150","26.75","-29.01"
"Murari_Mauro","-$4.41","1,239","18.10","-7.12"
"MurBlurr","-$0.52","1,298","37.33","-0.80"
"musohoolik","-$7.93","825","22.56","-19.22"
"Muunuu198888","-$10.65","1,231","25.90","-17.30"
"MVV641106","-$7.26","695","26.67","-20.89"
"mx500stiff","-$19.80","1,072","38.02","-36.94"
"MyTHaeBoka","-$12.81","1,128","22.30","-22.71"
"naaWi30","-$10.24","1,173","18.23","-17.46"
"Napacuk","-$12.49","3,696","19.18","-6.76"
"Ne0net","-$24.30","3,012","11.50","-16.14"
"Nelisnils","-$5.98","4,083","18.45","-2.93"
"NewKidOnTheFlop","-$25.48","8,315","14.78","-6.13"
"Newsletter99","-$0.78","847","19.98","-1.84"
"Nicnicboom","-$18.39","5,522","27.97","-6.66"
"Nightrain223","-$20.77","1,410","12.90","-29.46"
"nnatatiKA","-$10.44","1,661","22.64","-12.57"
"nomis1959","-$8.20","652","30.66","-25.15"
"norswegolf","-$1.87","921","15.29","-4.06"
"ntr502","-$16.03","4,755","19.77","-6.74"
"nudgha","-$16.62","1,158","21.60","-28.70"
"Nursemaster","-$6.22","525","13.68","-23.70"
"nVjey","-$15.85","554","22.63","-57.22"
"Næpskrell","-$8.05","624","40.42","-25.80"
"o novato749","-$18.57","1,033","14.65","-35.95"
"ohfcampanha","-$0.68","1,600","18.99","-0.85"
"Oleg1993 OS","-$25.84","676","41.73","-76.45"
"Olgarusnova","-$2.65","1,260","13.48","-4.21"
"OlgaS_812","-$59.23","8,248","40.59","-14.36"
"Onegin2000","-$48.00","871","39.42","-110.22"
"Ossenberg","-$23.37","838","11.23","-55.78"
"Outlaw24jb","-$12.92","522","24.47","-49.50"
"pachazinho","-$7.27","1,419","40.18","-10.25"
"pacothetiger","-$13.21","1,048","17.78","-25.21"
"PainTownAA","-$0.29","1,689","30.33","-0.34"
"papiljott","-$17.65","1,071","24.23","-32.96"
"papito50","-$9.69","1,402","19.61","-13.82"
"paragraf","-$13.45","1,819","29.50","-14.79"
"Pardoz200","-$50.85","5,917","19.98","-17.19"
"paul1979x","-$25.37","884","24.09","-57.40"
"PauloCesarH","-$0.62","1,290","21.06","-0.96"
"pepguadiola05","-$13.64","921","28.45","-29.62"
"Perech.com","-$25.27","1,484","37.14","-34.06"
"pgan2","-$17.53","683","38.03","-51.33"
"Piaca81","-$1.14","980","22.47","-2.33"
"Piep0812","-$1.46","535","32.02","-5.46"
"pike21","-$10.67","11,466","16.84","-1.86"
"Pillepalle52","-$8.13","1,063","23.05","-15.30"
"Pilot_Pain","-$35.43","3,823","14.69","-18.54"
"pinbotani","-$1.99","3,504","12.45","-1.14"
"PinkTiffany26","-$42.52","16,148","13.20","-5.27"
"pochardafor3","-$0.01","561","33.93","-0.04"
"Poker DanielTas","-$0.41","893","19.86","-0.92"
"Pokerace1001","-$2.29","598","60.91","-7.66"
"pokereule754","-$4.13","649","14.22","-12.73"
"Pokerfox68","-$10.15","2,849","15.86","-7.13"
"Pokerman9765","-$1.24","3,220","14.66","-0.77"
"pokeypokepokeu","-$7.35","4,391","19.60","-3.35"
"polly727","-$10.11","3,399","16.69","-5.95"
"pompieru_26","-$10.21","774","46.68","-26.38"
"potis18071","-$1.27","3,566","14.18","-0.71"
"prguitar","-$9.02","775","14.17","-23.28"
"pro100-kkk","-$50.72","11,233","19.92","-9.03"
"Profbetting","-$2.78","1,565","23.51","-3.55"
"Protopartorg","-$2.08","537","10.92","-7.75"
"PSHfuhruhurr","-$12.31","744","9.23","-33.09"
"pulitypus","-$8.83","2,506","29.34","-7.05"
"Pulsmann87","-$2.77","562","24.37","-9.86"
"Purzle","-$49.09","3,302","16.11","-29.73"
"PUTNICA","-$5.88","643","40.31","-18.29"
"QUERNBITER","-$21.27","4,798","16.63","-8.87"
"Ragen87","-$9.27","921","53.17","-20.13"
"RawManimal27","-$55.91","2,903","32.34","-38.52"
"rayjaylove","-$14.07","874","35.57","-32.20"
"rbmm1149","-$20.03","1,154","25.68","-34.71"
"Really7","-$35.64","2,208","23.52","-32.28"
"realmaster83","-$40.98","3,255","8.79","-25.18"
"Red Viper101","-$6.68","610","8.97","-21.90"
"reddevils888","-$34.72","2,844","25.14","-24.42"
"renardsou","-$21.69","705","40.69","-61.53"
"rideamus94","-$15.37","714","13.46","-43.05"
"risssq","-$0.31","787","21.97","-0.79"
"Rivaldo258","-$1.63","1,261","25.12","-2.59"
"riverhunter99","-$22.91","1,263","21.93","-36.28"
"rivershar939","-$7.56","1,177","29.71","-12.85"
"Rob1993P","-$16.04","1,667","23.17","-19.24"
"Roger3174","-$29.27","1,690","19.98","-34.64"
"rokaspilnumoj","-$21.00","1,007","21.52","-41.71"
"RomaHTC_AA","-$2.59","1,791","19.46","-2.89"
"Romczas","-$13.92","577","38.96","-48.25"
"romul34","-$20.90","2,414","13.56","-17.32"
"Rotttts","-$31.19","915","75.55","-68.17"
"roymin92","-$10.99","739","29.49","-29.74"
"Ruffy2706","-$10.17","626","25.57","-32.49"
"rull777","-$11.85","632","50.16","-37.50"
"RUSTRIN","-$11.27","4,464","26.69","-5.05"
"RustyTiz","-$9.24","661","21.21","-27.96"
"ryuzaki:x","-$7.07","867","25.58","-16.31"
"S.A.246","-$6.06","824","38.73","-14.71"
"santila","-$1.25","1,637","14.07","-1.53"
"saraphan4ik","-$12.42","583","14.31","-42.61"
"Sarcaaaasm","-$8.13","3,882","18.90","-4.19"
"Sask531","-$11.62","843","23.38","-27.57"
"saxual","-$19.41","534","76.65","-72.70"
"scythianhawk","-$8.34","1,639","23.67","-10.18"
"seakam","-$17.66","5,883","15.15","-6.00"
"SEB123RUS","-$14.61","799","57.72","-36.57"
"Seeurbet","-$27.40","1,007","47.48","-54.42"
"Serega1401","-$8.37","708","18.49","-23.64"
"sergei123158","-$8.23","550","4.78","-29.93"
"SERGEY742009","-$2.33","676","21.64","-6.89"
"SergoFan_nn","-$10.31","2,151","19.64","-9.59"
"sergopoke91","-$3.90","805","40.81","-9.69"
"Sergozi1972","-$16.49","2,032","16.49","-16.23"
"SexyBolts70","-$11.39","1,187","28.33","-19.19"
"shamar00000","-$5.44","622","24.03","-17.49"
"Shang_off","-$26.58","560","23.23","-94.93"
"Shark@ttack2020","-$22.92","547","58.30","-83.80"
"SheRmaN8813","-$6.18","908","27.68","-13.61"
"shining1977","-$19.35","1,342","14.63","-28.84"
"shtiliyan","-$9.02","619","21.99","-29.14"
"shtshot250","-$105.87","4,611","40.16","-45.92"
"Simdog109","-$25.59","602","20.81","-85.02"
"simea25015","-$8.33","2,581","13.76","-6.80"
"simonak1","-$12.45","761","25.07","-32.72"
"simsak","-$12.50","995","44.83","-25.13"
"SIRDJMILHAUS","-$4.72","1,171","11.48","-8.06"
"sjpenwarden","-$27.98","3,044","26.87","-18.38"
"skgolem","-$7.88","687","14.16","-22.94"
"skippy5001","-$3.93","711","24.08","-11.05"
"skitai555","-$5.62","2,536","14.89","-4.43"
"skubator","-$12.61","2,390","33.81","-10.55"
"SlickB","-$20.34","2,980","16.33","-13.65"
"slv7c","-$57.04","1,327","59.15","-85.97"
"smedrus","-$10.41","770","33.82","-27.04"
"Smiki2","-$18.52","1,089","11.74","-34.01"
"smoke1ne","-$5.38","3,178","16.47","-3.39"
"SmurfDonk","-$10.36","671","28.66","-30.88"
"snoopsandr","-$23.35","1,658","32.65","-28.17"
"snow9001","-$21.79","9,542","19.42","-4.57"
