,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
7130,dealembub,0.87,923,52.84,4.71,2.46,48.28
7132,dealuvasea,2.82,588,44.35,23.98,1.52,38.76
7144,Deathfooll,-31.64,4721,40.06,-33.51,1.43,36.14
7178,Ded_Pichto70,-14.19,1310,50.65,-54.16,1.11,40.48
7212,defone12,-10.34,554,41.12,-93.32,1.22,37.58
7220,DEGSM,-45.55,2809,43.52,-81.08,1.44,42.75
7237,deka525,-17.2,1705,41.5,-50.44,0.78,28.46
7255,Delekates,-5.45,1450,54.12,-18.79,1.4,30.7
7308,denczik01,-9.3,569,45.66,-81.72,2.49,51.18
7372,densdk,28.22,2737,40.62,51.55,3.21,55.71
7402,DeRaaf23,-9.64,1121,62.52,-43.0,0.79,25.55
7431,deso16,-11.51,501,47.89,-114.87,1.04,35.28
7447,detv,-0.6,851,42.94,-3.53,0.71,24.39
7589,DILMAELULALA,-8.97,2500,48.01,-17.94,3.38,57.07
7618,Diman803,-4.26,508,56.04,-41.93,1.09,35.59
7620,DiMarcelo,-3.13,776,55.04,-20.17,1.31,33.9
7791,Diver_24ru,-7.96,575,49.65,-69.22,2.1,53.35
7908,DMeurer,-22.12,820,58.82,-134.88,0.49,23.66
7961,dobedoobiedo,4.1,869,55.45,23.59,1.91,47.75
8005,DodgeGTS4,-0.33,1054,50.14,-1.57,1.86,44.15
8153,DOREN2008RUS,-27.58,564,81.57,-244.5,0.37,20.64
8179,DoubleD3uce,-0.15,567,45.31,-1.32,3.08,57.63
8184,doublestar2,-16.6,609,52.97,-136.29,1.9,42.82
8206,DOYHO,1.26,724,45.13,8.7,1.29,41.16
8237,Dr.Josch,0.86,745,60.73,5.77,1.08,30.9
8379,DrupMax,-9.06,4956,45.4,-9.14,1.71,42.81
8380,Druzki Oleg,-0.52,506,41.07,-5.14,0.98,37.01
8386,DrZoomphd,0.29,1022,54.99,1.42,1.2,35.04
8404,dthstd,-11.19,1665,46.4,-33.6,3.25,52.03
8434,Dudi 1897,1.88,1982,59.88,4.74,2.26,40.0
8459,Dukom,-5.09,534,46.7,-47.66,0.98,30.94
8465,Dulu2106,-13.25,1744,40.61,-37.99,1.83,45.94
8527,DwrongOne,-10.05,592,49.07,-79.9,0.93,26.22
8536,dyesoj,-20.39,3931,50.45,-25.93,1.61,47.94
8625,EATS77,-0.53,2763,46.83,-0.96,1.33,32.18
8638,ebridgen,-12.64,2675,40.79,-23.63,1.26,36.74
8657,ED_NDV,0.69,548,44.69,6.3,1.43,40.45
8695,edilanbewangel,20.11,728,46.01,138.12,3.32,53.16
8698,edivaldo1009,-0.83,648,44.96,-6.4,1.11,32.51
8699,edivaldo637,-3.57,514,40.2,-34.73,0.98,24.23
8717,Edu lins,-7.81,739,46.26,-52.84,1.93,42.86
8744,edugongra,-6.14,767,54.61,-40.03,2.73,52.37
8769,Eeaaw,-38.61,1468,56.16,-131.51,1.28,40.59
8781,efimov56,1.71,769,42.99,11.12,0.2,10.0
8822,Egormsk884,0.76,1200,42.86,3.17,3.16,55.67
8835,Ehrlik,-12.87,924,54.72,-69.64,0.84,30.93
8874,El Cocasmx,8.72,1188,56.64,36.7,1.88,43.79
8892,el_tchatcho,-1.61,975,42.52,-8.26,1.39,44.46
8988,elperromauro79,-2.04,535,53.58,-19.07,1.24,34.4
9009,Elvanearaujo,1.33,1177,51.24,5.65,1.2,38.4
9011,elvisjohansson,0.2,511,50.0,1.96,1.22,32.95
9048,emma44653,-0.1,532,47.74,-0.94,0.76,31.09
9227,ErwinZoltan,-34.62,600,88.8,-288.5,0.92,36.95
9267,esvalido09,-8.01,3112,54.0,-12.87,1.72,41.09
9298,eupphoria,-4.2,559,45.5,-37.57,1.44,37.75
9329,EVERTOX,4.17,556,57.5,37.5,2.05,48.58
9346,Evgenii S30,-11.93,745,40.3,-80.07,0.45,16.48
9371,Evil Panda22222,-31.85,3913,42.7,-40.7,2.17,47.56
9378,EvilKain777,-12.02,4263,41.91,-14.1,2.05,42.9
9491,Fabiogrss,-29.04,1843,58.68,-78.78,0.74,28.14
9540,Fajan69,-13.42,862,41.44,-77.84,1.4,37.68
9566,Fandré,-6.96,712,47.03,-48.88,1.28,36.88
9656,fbf58,-8.13,975,58.6,-41.69,1.49,41.24
9657,fbjensen777,-23.13,1966,43.65,-58.83,1.45,41.59
9681,fedor la,-24.39,1692,63.76,-72.07,1.75,44.44
9724,FelipeeLuis,-14.84,1014,43.82,-73.18,2.93,56.99
9790,FernandesHrj,1.4,501,54.42,13.97,2.85,51.23
9806,fernaxl,-4.34,3148,45.47,-6.89,1.37,35.33
9823,FerVieiraSB,-10.4,655,44.19,-79.39,2.96,59.43
9839,FFFF 48,-4.22,581,43.08,-36.32,1.85,48.85
9912,Finalmatrix8,1.68,797,62.09,10.54,0.93,34.71
9948,firouze x,-6.9,908,50.17,-38.0,1.41,31.31
9953,fischkopp7O,0.39,1126,57.5,1.73,2.46,50.44
9957,fisheads,1.75,1065,45.41,8.22,2.76,45.34
10119,Fokyc1085,8.67,1213,49.25,35.74,1.01,32.65
10139,Fool Gambler,-10.39,1028,48.64,-50.54,0.55,22.17
10149,foresfas0,-3.99,1592,49.75,-12.53,1.69,41.07
10182,Fox420nn,-6.64,626,43.34,-53.04,1.85,47.94
10343,FremadDK,-8.03,659,41.96,-60.93,4.16,56.67
10346,frend7777,-10.37,532,43.83,-97.46,0.77,33.02
10357,Friar37427,-7.02,958,42.35,-36.64,1.84,50.0
10371,frodo227,-7.11,1009,40.16,-35.23,0.85,26.43
10385,FrostDad,-1.04,581,50.0,-8.95,3.18,54.68
10406,FSpatz1977,-0.45,1601,44.77,-1.41,1.84,38.38
10545,Gabriel-M500,-8.8,938,59.98,-46.91,1.77,45.68
10631,gambit1786,-15.8,680,65.58,-116.18,0.88,28.88
10687,garfield_255,-18.81,776,48.96,-121.2,3.37,65.64
10719,gatemanpaul,-2.01,754,63.9,-13.33,1.06,32.92
10796,GeeeTeee333,-7.7,1145,59.49,-33.62,0.92,35.75
10802,Geilson03,11.6,744,45.27,77.96,1.3,41.76
10928,Gewürzgold,-6.74,683,61.52,-49.34,1.05,33.4
10945,gggkkj,-17.92,1648,58.07,-54.37,0.89,32.26
10946,gghilardi,-3.78,1091,40.96,-17.32,2.6,50.61
10959,ghanna777,-13.98,1003,66.93,-69.69,1.07,31.73
10987,GianniM01,3.56,591,42.29,30.12,2.59,51.71
11002,gibsonsg62,-4.19,910,45.95,-23.02,1.27,35.95
11047,ginolas69,-48.52,13591,63.21,-17.85,1.34,31.94
11056,GioJoe2,-12.09,1089,54.03,-55.51,0.65,24.21
11100,Gkalmpinos365,-7.95,4632,41.28,-8.58,2.73,47.11
11108,gladih,-4.29,1082,45.13,-19.82,1.38,37.01
